Job Title,Key Skills,Functional Area
 Software Engineer, Python| Application development| Agile| Debugging| Machine learning| Log analysis| Automation testing| deep learning| Individual Contributor| Web technologies,"IT Software - Application Programming , Maintenance"
 Opening For Crane Operator _technician (large Refinery-africa), Forklift| Crane Operator| Forklift Operator,"Production , Manufacturing , Maintenance"
 Sales Manager, marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| Sales Manager| sales executive,"Sales , Retail , Business Development"
 Graphic Designer / Senior Graphic Designer (walk - In on 22nd June 19), Design| Project Handling| Artwork| Key Skills| Illustrator| Photoshop| Graphic Designing| Client Interaction| Quality Assurance| Indesign,"Design , Creative , User Experience"
 Admin - Executive(post Sales), Communication Skills| Sales Administration| Admin Executive,"Sales , Retail , Business Development"
 Assistant Facility Manager- Gurgaon, Facility Management,"Site Engineering , Project Management"
 Utility Maintenance Engineer - Mechanical, Maintenance Engineering| Utility Maintenance| Compressor,"Production , Manufacturing , Maintenance"
 Sr. TSA / TSA UK & USA Voice Process, Technical Support Associate| Sales Associate| Technical support| Voice process| Issue| Senior| Technical| Inbound calls| Bonus| US shift,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Section Leader - Lab Testing, Customer Complaints| Lab Testing,"Engineering Design , R&D"
 PHP Developers, assembly language| website| C| HTML| ajax| javascript| jquery| SQL| xhtml| Six Sigma| PMP| xml| linux| .NET| Oracle| Python,"IT Software - Application Programming , Maintenance"
 Store Manager, Retail| Team management| Retail management| Electronics| Customer handling| Management| Store operations| Auditing,"Sales , Retail , Business Development"
 Mega Hiring Technical Support Executive Sales Voice, Voice process| Outbound| Technical Support Executive| Productivity| US shift| Bonus| Sales Executive| Technical support,"ITES , BPO , KPO , LPO , Customer Service , Operations"
" Senior Engineer, Big Data & Security", development| junit| java| apache| jboss| tomcat| product development| mysql| eclipse,"IT Software - Network Administration , Security"
 Executive : Gem Portal/govt. Tender, Gem| Tendering,"Sales , Retail , Business Development"
 Executive - Sales ( B2C B2B & Project Sales- Paints) Across Rajasthan, building materials| COLLECTION| lifestyle products| key account mgmt| home decor| business development| b2c sales| construction materials| lifestyle| NEW CLIENT ACQUISITION| PROJECT SALES| SALES,"Sales , Retail , Business Development"
 Business Development Manager, SOLUTION SELLING| MARKET RESEARCH| PRODUCT SALES| B2B SALES,"Sales , Retail , Business Development"
 Manager - Unix, Unix| Aix| ERP| Change management| Solaris| Social media| Disaster recovery| Problem management| Oracle DBA| SAP Basis,"IT Software - Application Programming , Maintenance"
 Application Senior Server Designer & Solutions Developer - Java/servle, Javascript| Java| Servlets| XML| SQL| HL7| Database Design| Code Review| Life Cycle| Application Design,"IT Software - Application Programming , Maintenance"
 Junior Accountant, Service tax| Financial statements| Sales tax| Reconciliation| Book Keeping| Cash management| Accounts Executive| Income tax return| Balance Sheet,"Accounts , Finance , Tax , Company Secretary , Audit"
 Project Manager _ ER, Analytics,"IT Software - DBA , Datawarehousing"
 Senior Business Manager- Life Insurance, team development| sales manager| business management| Agency Manager| sales development manager| life insurance,"Sales , Retail , Business Development"
 Senior UNIX Linux Administrator, Service| Unix| Scheduling| Incident management| Analytical| Automation| Business continuity planning| VMware| Solaris| Disaster recovery,"IT Software - Network Administration , Security"
 Associate Director, PMP| Project management| Application development| Cloud computing| Project finance| Machine learning| data governance| Scrum| JIRA| Monitoring,"IT Software - Application Programming , Maintenance"
E Commerce Manager in Mumbai,sales analysis|online marketing|marketing campaigns|inventory management|marketing strategy|mis reporting|product pricing|business planning|Ecommerce Development|ecommerce business,"Sales , Retail , Business Development"
 Job Opportunity for Mulesoft Developer - Pune Location, Java| Rest| web services| XML| j2ee| Mule Esb| soap,"IT Software - Application Programming , Maintenance"
 Data Analyst, Data Analysis| Data Analyst| reporting| Quality Control,Analytics & Business Intelligence
 AC Technician Job Openings in Qatar, Installation| troubleshooting| maintenance,"Site Engineering , Project Management"
 Technical Sales Executive with fixed pay & lucrative incentives., Outbound| Technical support| process| Support| Inbound calls| employee referral| US shift| Bonus,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Sales Manager (agency Channel), sales management| marketing| agency channel| channel sales| Agent Recruitment| channel sales manager| channel manager,"Sales , Retail , Business Development"
 Project Coordinator, Project Coordinator| MS project Relevant| Auto CAD| computer| applications,"Production , Manufacturing , Maintenance"
 Hiring for Inteernational Non-voice Process(e-mail & Chat), chat| international| Email Support| Non Voice| bpo| international call center| bpo fresher| international bpo,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Production Supervisor, Production Supervisor| Shop floor management,"Production , Manufacturing , Maintenance"
 National Sales Head / Director Sales (logistic Company)_bangalore, National Sales| Business Development| Key Account Management| Sales Head| Sales Director,"Sales , Retail , Business Development"
 Urgent Requirement -medical Representative Required @ Hyderabad, Business Development| sales| Pharmaceutical Sales,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology"
 Biztalk Developer 1, Biztalk| microsoft| PLSQL| c#| server| orchestration| EDI| Electronic Data Interchange| sql| X12| Healthcare| ASP.Net| developer| net| ANSI| asp,"IT Software - Application Programming , Maintenance"
 Sr. Executive - Training, Training| six sigma| technical training| continuous improvement| technician activities| Technical Trainer,"Teaching , Education , Training , Counselling"
 Technical Lead - Front End Development - Node.js/react.js, react.js| node.js| backend| web technologies| front end| technical design| css3| jquery| angularjs| bootstrap,"IT Software - Application Programming , Maintenance"
 Assistant Manager/ Manager Sales (5-7 Yrs), Conferences| Events| hotel sales| MICE| Sales Management| Sales Ability| Corporate Sales,"Sales , Retail , Business Development"
 Sales Engineer - Technical, marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| sales executive,"Sales , Retail , Business Development"
 Required Data Entry Operator/computer Operator, Data Entry Operation| Computer Operating| Data Management| data analysis| Data Entry| computer operator| back office| non voice| backend| kpo,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Content Writer, content writing| content editor| Scientific Writing| Journalism| mass communication| public relation,"Journalism , Editing , Content"
 Company Secretary For Reputed Company, Company Secretary| Compliance| Secretarial Activities,"Accounts , Finance , Tax , Company Secretary , Audit"
 Branch Head- Business Operations, project planning| project management,"Sales , Retail , Business Development"
 Functional Verification Engineer, linux| perl| verification| btech| verilog| asic| firmware| embedded software| msc| vlsi,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design"
 IVR/CTI Test Analyst, Product quality| Automation| development| IVR| technical| software| Verint| developing| Software quality assurance| quality| System integration| design| CTI| Selenium| Continuous improvement| Testing,"IT Software - Application Programming , Maintenance"
 Invoice Processing PA1, Accounting| Accounts Payable| Invoice Processing| Auditing| Expenses| Payments| Invoicing| Monthly Reports| Closing,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Software Engineer _ Immediate Joinee, c++| qt| mysql,"IT Software - Application Programming , Maintenance"
 Executive- Hr(recruitment) for HR Consulting Dealing in Manufacturing, recruitment| screening| sourcing| hr consulting| linkedin| communication skills,"HR , Recruitment , Administration , IR"
 Sales Manager - Karnataka, sales management| sales strategy| customer relationship| communication skills| customer service| Sales Coordination,"Sales , Retail , Business Development"
 Residence Engineer -technical Sales - S/9517, TECHNICAL SALES| OIL AND GAS| AUTOMOBILE| TEXTILE| PHARMA| FLOW MEASURING INSTRUMENTS,"Sales , Retail , Business Development"
Hrbp(night Shift) | Chennai,Training|Grievance Handling|Management Services|Healthcare Management|Action Plan|Performance Improvement|Night Shift|People Management|Employee Retention,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Manager- Process Excellence, HR| Recruitment| Auditing| Business excellence| Black Belt| Operational excellence| Process management| Green belt| Automation| Information technology,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 area managers sales, Head Operations| Service| Penetration| Sales strategy| Industrial sales| Market segmentation| Regional Head| Payment collection| Market| Sales Executive,"Sales , Retail , Business Development"
 VB.NET ASP.NET Application Developer, mca| billing| php| net asp net| vb.net| asp net| navigation| application| net technologies| asp.net| vb net| .net| developer| email,"IT Software - Application Programming , Maintenance"
 FAE Embedded Systems, Presales| Instrumentation| Technical support| Tools| Middleware| Linux| Computer science| RTOS| Embedded Linux| embedded software development,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design"
 Piping Designers, Piping Designers,"Engineering Design , R&D"
 Manager/ Senior Manager Campus Hiring, Selection process| Talent acquisition| Consulting| Conceptualization,"HR , Recruitment , Administration , IR"
 Accountant/ Taxation Executive, Taxation| Accounting| accounts executive| accounts assistant| Direct Tax| direct taxation,"Accounts , Finance , Tax , Company Secretary , Audit"
 Marketing Executive / Trainee, Marketing| market research| customer profiling| sales executive| marketing executive| distributors| Business Development| sales strategy,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Principal Engineer - Java/big Data, Java| Open Source| Scala| Big Data| Spark| Performance Tuning| Python,"IT Software - DBA , Datawarehousing"
 Tech Mahindra || Mega Drive for International Process on 13-14th June, Customer Support| Blended Process| International Voice| Communication Skills| voice based process| Voice Process| technical support| Customer Service| customer care| Telecom,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 IT - Software Developer, C#| Java| Software Development| ASP.Net| .Net| SQL Server,"IT Software - Application Programming , Maintenance"
 Relationship Manager, Relationship management| Forex| Service level| Penetration| Sales| Investment advisory| Financial planning| Relationship| Customer engagement| Auditing,"Sales , Retail , Business Development"
 Urgent Required Australia and Canada PR Sales Executive, communication skills| international voice process,"Sales , Retail , Business Development"
 Sales and Marketing Manager - Power Cables, marketing| cables| Power cables| business development| bdm| sales,"Sales , Retail , Business Development"
Hexaware Technologies Is Hiring Powershell Developers - Mumbai,Powershell,"IT Software - Application Programming , Maintenance"
 Customer service / Tele caller, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,"Sales , Retail , Business Development"
 Admin Assistant, Administration| Secretarial activities| Computer literate| Travel management| Scheduling| Forex| MS Office Powerpoint| Copyright| Agile| Administrative assistance,"HR , Recruitment , Administration , IR"
 Development Engineer 3, Development Engineer| Maven| Java| GIT| SOA| Docker| Teamcity| Web Technologies| MySQL| Agile| Spring,"IT Software - Application Programming , Maintenance"
 Lead Data Scientist, Python| Machine learning| Forecasting| Text mining| Neural networks| Natural language processing| text analytics| Logistic regression| advanced analytics| deep learning,IT Software - Other
 SAP PLM/EHS, EHS| DBA| Engineer| SAP PLM| OOPS| Computer Science| SQL,"IT Software - ERP , CRM"
 Urgent Opening For Telecaller, Communication Skills| voice process| inbound| english| hindi| outbound process,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Data Information Management Intermediate Analyst, SAS| MIS| Financial services| Automation| Analytical| Cognos| Business strategy| Information management| Information technology| Data extraction,"IT Software - Application Programming , Maintenance"
 Sr. Travel Sales Consultant | Incentive Upto 10 Rs Per Dollar , travel sales consultant| amadeus| travel sales,"Travel , Tours , Ticketing , Airlines"
Job Description,Field Sales|Business Development|Vendor Development|customer service|lead generation,Other
 ASSOCIATE ANALYST / ANALYST, Analytics| Macros| Business process| Service operations| Analytical| Automation| Supply chain operations| Analytical skills| Supply chain solutions,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Senior C#/.net Developer, jQuery| C| Web technologies| Web services| C#.Net| Cloud| Javascript| ASP.Net| HTML| SQL,"IT Software - Application Programming , Maintenance"
Senior Manager / Manager - QAQC - Mumbai,Quality Control|quality assurance|qa / qc,"Site Engineering , Project Management"
 Java Developer, Java| Hibernate| JBoss| MySQL| Spring Boot| JPA| Spring,"IT Software - Application Programming , Maintenance"
 Golden Opportunity for Company Secretary(qualified) at Bandra East, Company Secretary| assistant company secretary| Compliance Officer,Other
" SAP MM Consultant For NTT Data,bangalore C2H Hiring", Interfaces| idocs| sap mm| problem solving,IT Software - Other
 Jr. Graphic Artist, Entertainment| Media| Advertising| Media Advertising,"Design , Creative , User Experience"
 Account Analyst, Administration| Operations| CRM| Leadership training| Agile| Client support| MS Office| client onboarding,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Advertising & Public Relations- Assistant Professor, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,"Teaching , Education , Training , Counselling"
 Embedded Network Engineer / QCaLL Network Engineer, Mantis| HTTP| System programming| Embedded Linux| board support package| Media marketing| Union| Usage| Marketing campaigns| Revenue generation,"IT Software - Network Administration , Security"
" Exucutive, Business Operations", Workflow| Monitoring| Business operations| Office administration| Management,IT Software - Other
 Officer-Supplies & Purchases, Housekeeping| Supervisor| General administration| Personnel administration| General Administrator| Archiving| debit| Cost,Purchase / Logistics / Supply Chain
 Netsuite Developer, Netsuite| Techno Functional| Computer Science,"IT Software - Application Programming , Maintenance"
 Soft Skill Trainer- Mumbai, Computer skills| Soft| Beauty| BASIC,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 IT Recruiter- Urgent Requirement, it hiring| IT Recruitment| it staffing,"HR , Recruitment , Administration , IR"
 Customer Service Associate, Customer service| Customer Service Associate| Research Associate| Research,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Android Developer, Networking| Digital marketing| GIT| analytics| oop| automation| usability| web| MySQL| design| json| multithreading| rest| sqlite| level| testing| mobile| it| Android| marketing automation| Computer science| Web analytics| XML| Machine learning| developer| sdk,"IT Software - Application Programming , Maintenance"
" Urgent Hiring For "" IT Recruiter(gurgaon)", recruitment| hr| conducting interviews| sourcing| it recruitment| it recruiter| Technical Recruitment,"HR , Recruitment , Administration , IR"
 Business Analyst, functional testing| end user| Software Development| scrum| business analysis| agile| user acceptance| SQL,"IT Software - Application Programming , Maintenance"
 Hybris Developer/Sr. Developer/Team Lead/Project Manager, development| automation| xml| jsp| html| networking| jdbc| hibernate| ajax| javascript,"IT Software - Application Programming , Maintenance"
 Senior PHP with Drupal Developer, C| Python| assembly language| software| HTML| ajax| jquery| scripting| database| web| xml| linux| design| .NET| mysql| Oracle| website| javascript| SQL| xhtml| Six Sigma| PMP| drupal| php| support| applications,"IT Software - Application Programming , Maintenance"
 Inbound Tech senior Sales Executive, data analysis| Customer Service| Help Desk| Information| Telephony support| customer relationship| access controls| caller| tech support| technical support| BPO| inbound| outbound| calling| voice| non voice| customer service| cce| uk| us| voice process,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Data Visualization Developer, spark| sql| big data| unix| data visualization| tableau| hadoop| python| hive,Other
 content writers, Content writing| Wordpress CMS| Station| Training,"Journalism , Editing , Content"
 Internal Audit Professional, risk assessments| risk management| system developments| audit| Operational Risk| Internal Auditing| accounting,"Accounts , Finance , Tax , Company Secretary , Audit"
 FMS Engineer, Linux| Project management| Analytical| Windows| Asset management| Troubleshooting| microsoft| Facility management| Preventive maintenance| Customer interaction,"IT Hardware , Technical Support , Telecom Engineering"
 Medical Officer, Basic| Apr| DEC| Relationship| HR| Management| MAR,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology"
 Immediate Requirement For Medical Coder Fresher & Experience, medical coding| biotechnology| biology| bsc| medical transcription| healthcare management| botany| msc| zoology,"ITES , BPO , KPO , LPO , Customer Service , Operations"
" .Net Full Stack Lead, Technology", C#| CSS| XML| Ember.Js| Javascript| HTML| Entity Framework| Backbone.Js| ASP.Net MVC| Web Services,"IT Software - Application Programming , Maintenance"
 Accounts assistant - Finance, Auditing| Reconciliation| Direct tax| General accounting| Income tax| BPO| Fixed assets| MS Office| Tally ERP| ITES,"Accounts , Finance , Tax , Company Secretary , Audit"
 ETL Test Analyst, Manual Testing| Functional Testing| Regression Testing| Test Analysis| Test Engineering| Sanity Testing| Writing Test Cases| GUI Testing| QA Testing| Test Planning,IT Software - QA & Testing
Openings for Ipdrg Coders In Chennai and Hyderabad,IP DRG Coder|medical coding|Inpatient coder|DRG coder|medical coder|IPDRG|IP Coder|IPDG coding,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Direct Sales - CASA Bank Sales Kolkata, saving account| casa| Retail Sales| direct sales| banking| field sales,"Sales , Retail , Business Development"
 Business Development, Selling skills| Email| Pumps| SMS| Service| Doc| Overhauling| Business Development Executive| Food processing| Machinery,"Sales , Retail , Business Development"
 Tech Support International Voice Process, Help Desk| Customer Service| data analysis| tech support| BPO| voice| customer relationship| cce| inbound| customer service| caller| technical support| voice process| access controls| outbound| uk| calling| non voice| us,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Customer Care Executive (gurgaon/noida), Customer Care| Voice Process| International| International Call Center| Travel Process| Sales Process| Reservation Executive| Ticketing Executive| GDS| Amadeus,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Content Writers, editorial| Content Writers| grammar| copywriting| Internal Communications| formatting,"Journalism , Editing , Content"
 Software Sales and Alliances Manager, Sales| Software sales| Management,"Sales , Retail , Business Development"
 Sr. Full Stack Developer_fort (mumbai)react & Node/python is Mandatory, react.js| node.js| python| Senior Software Developer| senior software engineer| aws,"IT Software - Application Programming , Maintenance"
 Lead Engineer-embedded C RTOS, RTOS| VXWORKS| C| Device Drivers| boot loader| kernel| embedded C| bsp,"IT Software - Application Programming , Maintenance"
 Tele Sales Executive for Real Estate Company, sales executive activities| selling| telesales| fixing appointments| sales executive| tele sales executive| tele caller| lead generation| cold calling| outbound calling,"Sales , Retail , Business Development"
 Software Developer, MVC| ASP.Net| C#| JQuery| Software Development| Java| SQL| Web Technologies| Problem Solving| Java Script| J - Query| C#.,"IT Software - Application Programming , Maintenance"
 Financial Service Associate - Bancassurance - Hdfc Bank, sales| marketing| direct sales| channel sales| bank| banking| home loans| housing finance| corporate sales| nbfc| sales officer| manager| loans| banca| insurance| life| general| motor| sales executive| casa| bancassurance| mortgage| LAP,"Sales , Retail , Business Development"
 QC Officer - Clinical Research. - Accutest Research Lab., qc| cra| quality control| clinical research| CRC| quality assurance| Clinical Research Coordinator| clinical research associate,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology"
 OPERATION SUPPORT ASSOCIATE, Scheduling| Windows| Recruitment| Computer science| VMware| Assurance| Managed services| Active directory| Continuous improvement| Operations,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Engineer, Site Engineer,Other
 DEV OPS ENGINEER, C++| Linux| Information security| Debugging| Application development| Windows| Troubleshooting| Virtualization| SQL| Python,"IT Software - Application Programming , Maintenance"
 Sr Supplier Development Specialist Metallurgist (bangalore), Supplier Development| Heat Treatment| Supplier Quality| Production| Metallurgy,Purchase / Logistics / Supply Chain
 iOS Application Developer, Swift| Mobile applications| IOS| C| application| design| mobile| developer,IT Software - Mobile
 Senior Software Engineer, C#| Win32| Com| C++| LINQ| Multithreading| Software Engineering| Programming| Technical Lead| software engineer,"IT Software - Application Programming , Maintenance"
Job Description,Blended Process|BPO|Bcom|BBA|telecaller|Customer Service|Genpact|Non Voice Process|Gurgaon|Voice Process|HCL|Cogent|Customer Support|media management|Tech Mahindra|Domestic BPO|Blended|social media|Delhi NCR|communication skills|International BPO|BA,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Required Telecaller for an IT Hardware Company, market research| customer profiling| sales executive| marketing executive| distributors| Business Development| sales strategy,"Sales , Retail , Business Development"
 General Manager - Sales & Marketing - Building Material, Sales Head| Marketing Head| Sales| Sales Strategy| Sales Planning| Marketing,"Sales , Retail , Business Development"
 Senior Business Intelligence Analyst, QlikView| Data Visualization| Tableau| MS SQL Server| Business Analysis| Business Intelligence| Data Warehousing| Power Bi| Data Modeling| Alteryx,Analytics & Business Intelligence
" Golang, Unix/Linux Developer", Unix| Linux| MySQL| Computer science| Software design| DNS| Data structures| Perl| HTTP| Python,"IT Software - Application Programming , Maintenance"
 US Shift In Adeeba ( INBOUND TECH SUPPORT), Technical support| Outbound| US shift| process| Spot| employee referral| Inbound calls| Productivity| Bonus,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 SEO / Web Promotion, SEO| SEM| Link Building| Web Promotion| Social Media Marketing| Web Technologies| Team Building,"IT Software - eCommerce , Internet Technologies"
 Business Head - P&P | Eco-friendly Industrial Products Brand | Chennai, Team Management| BD| People management| Chemical Engineer| Sales| Team Building| Business Development,"Sales , Retail , Business Development"
 Sales Manager - Agro Equipment, Farm Equipment| Sales Management| Agro| Marketing,"Sales , Retail , Business Development"
 Web Application Developer, Web application development| development| css| technical| software| html5| Debugging| Business Executive| SQL| backbone.js| application| web| Compensation| Technical skills| Node JS| Software product development| Scrum| developer,"IT Software - Application Programming , Maintenance"
 Merchandiser/ Stock Manager, Sales| Stock management| HTML| HTTP| FMCG| Medical insurance| Merchandising| MS Office| Remedy,"Sales , Retail , Business Development"
 Associate - Customer Service (Third Party Role), SAP| After sales service| KPI| Service industry| Transition| Customer service| Customer Service Associate| Salesforce,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Python Developer, SQL| Javascript| Python| rest| development| gaming| technical| software| testing| mobile| it| CSS3| Technical documentation| quality| Backend| Front end| Web services| HP data protector| ui| web| design| Software development life cycle| developer,"IT Software - Application Programming , Maintenance"
 Team Lead - Data Governance, IT services| Automation| data governance| Team Leader| Financial services,IT Software - Other
 Technical Support Engineer, SAN| Fire alarm system| Networking| Linux| Presales| CCNA| CCTV| RFP| Technical support| SQL,IT Software - Other
 Software Product Development Engineer - Asp.net C# MVC SQL, WCF| XAML| MVVM| ADO.Net| LINQ| ASP.Net MVC| C#| SQL Server| Javascript| MVP| JSON| jquery| ajax| css| html| xml| API,"IT Software - Application Programming , Maintenance"
 Freshers Day Shift BPO Graduate / PUC / English + Hindi Bangalore, bpo| call centre| customer service executive| telecaller| csr| call center bpo| customer support executive| customer care officer| customer service representative| call center| customer care executive,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Member of Technical Staff - QA - SaaS Engineering, XML| Agile| Product management| Maven| Test planning| HTTP| JSON| Selenium| Test cases,IT Software - QA & Testing
 Hyderabad-Software-Engineer-2, Engineer 2| Windows| Project Coordinator| Email| Gaming| Troubleshooting| Linux| Graphics| SQL| HTML,"IT Software - Application Programming , Maintenance"
 Territory Manager, sales planning| marketing| team handling| customer relationship| relationship management| customer complaints| customer handling| territory management,"Sales , Retail , Business Development"
 CCE, Outbound| Technical Support Representative| Technical support| Group| process| Sales| Inbound calls| US shift| Antivirus| Comp,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Technical Sales Coordinator VMAX Plate Beveling MCS. PVT. LTD, technical support| field marketing| Customer Support,"Sales , Retail , Business Development"
 Immediate Openings For Graphic Designer, Graphics| Design| Illustrator| Photoshop| Graphic Designing| Flash| Indesign,"IT Software - Application Programming , Maintenance"
 Assistant Manager Client Acquisition, client acquisition| equity sales| demat sales| HNI Client Handling| HNI Sales| HNI Acquisition| New Client Acquisition,"Sales , Retail , Business Development"
 CRM Developer - MS Dynamics, c#| customer service orientation| web services| team management| asp.net| .net framework| ms dynamics crm| sql server| javascript,"IT Software - ERP , CRM"
" SR TECH LEAD, MOBILITY", Technical product configuration| design| integration PHP| MySQL| HTML| C| c++| JavaScript,"IT Software - Application Programming , Maintenance"
 Senior Search Engine Optimization, PPC| Email| Web analytics| Tools| Link exchange| Link building| SEO| Search engine optimization| Software services| Ideas,"IT Software - eCommerce , Internet Technologies"
 Marketing Analyst, Client Management| Program Management| Project Management| Relationship Management| Client Servicing| Communication Management| Marketing Analysis| Account Management| Team Leading| Advertising,Other
 VBA Developer Excel, oracle| sql server| experience| excel| knowledge of excel| programming| dashboards| ms excel| access| db,"IT Software - Application Programming , Maintenance"
 Cath Lab Technician, cardiac| imaging| monitoring| cardiovascular| documents| procedures| machinery| standards| checking| email,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology"
 Finance and Accounts Professional, statutory audit| financial control| internal control| financial reporting| auditing| accounting| finance| financial statements,"Accounts , Finance , Tax , Company Secretary , Audit"
 Reverse Logistics Manager, Logistics| Reverse logistics| Warehouse| Service delivery| Logistics operations| Cost| Cost management| Management,"Supply Chain , Logistics , Purchase , Materials"
 Quality Analyst, quality analysis| qa| tech support| Technical Support| technical troubleshooting,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Manager - Business Development - Digital Services, Business Development Management| B2B Sales| Digital Marketing| Media Sales| Lead Generation| Client Servicing| Media Research| Social Media| Design Development| Writing Skills,"Sales , Retail , Business Development"
 Manager / Senior Manager - Indirect taxation, Service tax| Litigation| Central excise,"Accounts , Finance , Tax , Company Secretary , Audit"
 Statutory Profile Senior Manager ***close Soon, Statutory Audit| stat audit,"Accounts , Finance , Tax , Company Secretary , Audit"
 System Architect - Linux, Chef| Unix| Linux| TCP| Automation| Python| CMS| Troubleshooting| DNS| Ruby,"IT Software - Application Programming , Maintenance"
 Excellent Job Opportunity for a International BPO in Kolkata, Antivirus| Technical support| International BPO| Issue| Inbound calls| Software,"ITES , BPO , KPO , LPO , Customer Service , Operations"
Sr. Exec./am FP&A | Fixed term Contract for 6 Months,Accounting|Finance|Financial Reporting|Forecasting|Budgeting,"Accounts , Finance , Tax , Company Secretary , Audit"
 Backend Architect/senior Developer - Node.js/mongodb/mean Stack, Technical Architect| MEAN| DevOps| Git| Docker| Redis| Node.js| MongoDB,"IT Software - Application Programming , Maintenance"
 Pharmacist/hospital Pharmacist, Inventory Control| Pharmacy| External Audit| Dispensing| Auditing,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology"
 Hiring For Fresh Graduates - HR Executive/manager - Very high Salaries, Screening| Current Job| Hiring| Sourcing| HR| Client Engagement| Technical Recruiter| Interviewing| Recruitment,"HR , Recruitment , Administration , IR"
 Frontend Engineer - Angular/ Javascript/ Html/ CSS, AngularJS| CSS| jQuery| Javascript| HTML| React.js| AJAX,"IT Software - Application Programming , Maintenance"
 PHP Developer / Sr.php Developer, PHP| Wordpress| Opencart| Magento| Laravel| CI| Technical Skills| Communication Skills,"IT Software - Application Programming , Maintenance"
 TECH CALLERS, Outbound| Antivirus| Technical support| Group| process| Sales| Technical| Inbound calls| US shift| Comp,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Digital marketing, Digital marketing,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Software support consultant, Customer support| Recruitment| Product support| Salesforce| Product management| MS Outlook| Computer networking| Software support| Excel| MS Word,"IT Software - Application Programming , Maintenance"
 Implementation Specialist - Online Visitor Engagement (OVE) solutions, IVR| Data management| Project management| Javascript| Service| HTML| Application development| Unit testing| Ajax,"IT Software - Application Programming , Maintenance"
 Cafeteria Operations Managers, vendor management| operations| team management| campaigns| cafeteria| strategy| retail,"Hotels , Restaurants"
 Tech Lead - Back End, Object oriented design| Post production| Project management| Configuration management| Software development life cycle| Test cases| software quality| New product development| Software solutions| Monitoring,"IT Software - Application Programming , Maintenance"
 Inbound Tech Sales/Support hiring for US Shift in Adeeba, Outbound| Antivirus| Technical support| Technical Support Executive| Technical| US shift| Inbound voice process| Customer Service Executive| Sales support| Comp,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Sr. SALES EXECUTIVE, planning| revenue| business| activities| streams| it| relationship| sales executive| customer| sr,"Sales , Retail , Business Development"
 Mobile Application Developers - Android, api| java| mobile application| javascript| android| css3| sqlite| jquery mobile| android sdk| data transformation,IT Software - Mobile
 Smart HVAC Solutions, Wireless| Cloud computing| OPEX| Automation| HVAC| Cloud| Sensors| Water system| Predictive maintenance| Quality management,"Sales , Retail , Business Development"
 SG Walk- In- Executive - Accounts Payable - Finance- 14th June, Accounting| Finance| TDS| Payables| Loss| Accounts Payable| Educational Qualification| Written Communication| Excel Powerpoint| Analytical Skills,"Accounts , Finance , Tax , Company Secretary , Audit"
 Opening For Software Testing Fresher @ Baner Pune, Software Testing| Manula Testing,IT Software - QA & Testing
 NRI:RM, NRI| RM| HNI Client Handling,"Sales , Retail , Business Development"
 Electronic Cinematography- Assistant Professor, Counselor| Mentor| Trainer| Advisor| Teaching,"Teaching , Education , Training , Counselling"
